link,name,price,mrp,dicount-value,discount,delivery-text-msg,rating-text,rating-text-icon,rating-text-icon 2,img,not-available-text,delivery-pincode-text,site
https://www.croma.com/faber-jumbo-4bb-bk-toughened-glass-top-4-burner-manual-gas-stove-corrosion-resistance-black-/p/210985,"Faber Jumbo 4BB BK Toughened Glass Top 4 Burner Manual Gas Stove (Corrosion Resistance, Black)","₹6,379","₹9,840","(Save ₹3,461)",35% Off,"Standard Delivery by Thur, 29th Aug",4.2,(),20,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1688417971/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/210985_0_wx5vfg.png?tr=w-400,,,Croma
https://www.croma.com/faber-ellora-3d-60cm-1400m3-hr-ducted-auto-clean-wall-mounted-chimney-with-baffle-filter-black-/p/273789,FABER Ellora 3D 60cm 1400m3/hr Ducted Auto Clean Wall Mounted Chimney with Baffle Filter (Black),"₹22,889","₹37,000","(Save ₹14,111)",38% Off,"Standard Delivery by Thur, 29th Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721140858/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/273789_0_ridgod.png?tr=w-400,,,Croma
https://www.croma.com/faber-florence-fl-sc-ac-bk-90cm-1200m3-hr-ducted-auto-clean-wall-mounted-chimney-with-touch-gesture-control-black-/p/270724,FABER FLORENCE FL SC AC BK 90cm 1200m3/hr Ducted Auto Clean Wall Mounted Chimney with Touch & Gesture Control (Black),"₹13,749","₹24,990","(Save ₹11,241)",45% Off,"Standard Delivery by Thur, 29th Aug",5,(),4,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1690210855/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/270724_0_hz7pv8.png?tr=w-400,,,Croma
https://www.croma.com/faber-hood-ellora-3d-in-hc-sc-bf-bk-90cm-1400m3-hr-ducted-auto-clean-wall-mounted-chimney-with-baffle-filter-black-/p/273790,FABER Hood Ellora 3D IN HC SC BF BK 90cm 1400m3/hr Ducted Auto Clean Wall Mounted Chimney with Baffle Filter (Black),"₹24,889","₹41,000","(Save ₹16,111)",39% Off,"Standard Delivery by Thur, 29th Aug",,,,"https://media.croma.com/image/upload/f_auto,q_auto,d_Croma%20Assets:No_image.png/Croma%20Assets/UI%20Assets/lazyLoading.gif",,,Croma
https://www.croma.com/faber-prince-plus-4-burner-manual-hob-brass-burner-black-/p/305683,"FABER Prince Plus 4 Burner Manual Hob (Brass Burner, Black)","₹11,929","₹14,490","(Save ₹2,561)",18% Off,"Standard Delivery by Thur, 29th Aug",,,,"https://media.croma.com/image/upload/f_auto,q_auto,d_Croma%20Assets:No_image.png/Croma%20Assets/UI%20Assets/lazyLoading.gif",,,Croma
https://www.croma.com/faber-jumbo-4bb-ss-toughened-glass-top-4-burner-manual-gas-stove-corrosion-resistance-black-/p/210989,"Faber Jumbo 4BB SS Toughened Glass Top 4 Burner Manual Gas Stove (Corrosion Resistance, Black)","₹6,879","₹10,840","(Save ₹3,961)",37% Off,"Standard Delivery by Thur, 29th Aug",4.2,(),22,"https://media.croma.com/image/upload/f_auto,q_auto,d_Croma%20Assets:No_image.png/Croma%20Assets/UI%20Assets/lazyLoading.gif",,,Croma
https://www.croma.com/faber-bolt-fl-sw-sc-bk-n-90cm-1500m3-hr-ductless-auto-clean-wall-mounted-chimney-with-touch-control-panel-black-/p/259430,FABER BOLT FL SW SC BK N 90cm 1500m3/hr Ductless Auto Clean Wall Mounted Chimney with Touch Control Panel (Black),"₹36,789","₹51,990","(Save ₹15,201)",29% Off,"Standard Delivery by Thur, 29th Aug",5,(),1,"https://media.croma.com/image/upload/f_auto,q_auto,d_Croma%20Assets:No_image.png/Croma%20Assets/UI%20Assets/lazyLoading.gif",,,Croma
https://www.croma.com/faber-hood-cygnus-in-3d-hc-sc-fl-bk-60cm-1350m3-hr-ducted-auto-clean-wall-mounted-chimney-with-odor-sensor-black-/p/273791,FABER Hood Cygnus IN 3D HC SC FL BK 60cm 1350m3/hr Ducted Auto Clean Wall Mounted Chimney with Odor Sensor (Black),"₹21,289","₹35,000","(Save ₹13,711)",39% Off,"Standard Delivery by Thur, 29th Aug",3,(),1,"https://media.croma.com/image/upload/f_auto,q_auto,d_Croma%20Assets:No_image.png/Croma%20Assets/UI%20Assets/lazyLoading.gif",,,Croma
https://www.croma.com/faber-remo-4bb-bk-toughened-glass-top-4-burner-manual-gas-stove-premium-quality-knob-black-/p/245408,"Faber Remo 4BB BK Toughened Glass Top 4 Burner Manual Gas Stove (Premium Quality Knob, Black)","₹10,229","₹12,990","(Save ₹2,761)",21% Off,"Standard Delivery by Thur, 29th Aug",3,(),3,"https://media.croma.com/image/upload/f_auto,q_auto,d_Croma%20Assets:No_image.png/Croma%20Assets/UI%20Assets/lazyLoading.gif",,,Croma
https://www.croma.com/faber-maxus-ht604-crs-br-ci-ai-toughened-glass-top-4-burner-automatic-hob-high-quality-knob-black-/p/227711,"Faber Maxus HT604 CRS BR CI AI Toughened Glass Top 4 Burner Automatic Hob (High Quality Knob, Black)","₹19,295","₹22,500","(Save ₹3,205)",14% Off,"Standard Delivery by Thur, 29th Aug",3.2,(),5,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1688422008/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/227711_0_i3w3xs.png?tr=w-400,,,Croma
https://www.croma.com/faber-onyx-4bb-bk-ci-toughened-glass-top-4-burner-manual-gas-stove-diamond-coated-pan-support-black-/p/217238,"Faber Onyx 4BB BK CI Toughened Glass Top 4 Burner Manual Gas Stove (Diamond Coated Pan Support, Black)","₹9,049","₹11,340","(Save ₹2,291)",20% Off,"Standard Delivery by Thur, 29th Aug",4,(),33,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721056221/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/217238_0_n8a7gk.png?tr=w-400,,,Croma
https://www.croma.com/faber-jumbo-3bb-bk-ai-toughened-glass-top-3-burner-automatic-gas-stove-corrosion-resistance-black-/p/210986,"Faber JUMBO 3BB BK AI Toughened Glass Top 3 Burner Automatic Gas Stove (Corrosion Resistance, Black)","₹7,719","₹10,340","(Save ₹2,621)",25% Off,"Standard Delivery by Thur, 29th Aug",3.2,(),10,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721057154/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/210986_0_irzdep.png?tr=w-400,,,Croma
https://www.croma.com/faber-jumbo-3bb-ss-toughened-glass-top-3-burner-manual-gas-stove-corrosion-resistance-black-/p/210988,"Faber Jumbo 3BB SS Toughened Glass Top 3 Burner Manual Gas Stove (Corrosion Resistance, Black)","₹5,879","₹8,840","(Save ₹2,961)",34% Off,"Standard Delivery by Thur, 29th Aug",4.1,(),58,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721057136/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/210988_0_ife0uh.png?tr=w-400,,,Croma
https://www.croma.com/sanjeev-kapoor-12-pcs-stainless-steel-cutlery-set-dishwasher-safe-silver-/p/229812,"Sanjeev Kapoor 12 Pcs Stainless Steel Cutlery Set (Dishwasher Safe, Silver)","₹1,999",,,,"Standard Delivery by Sat, 31st Aug",4,(),2,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1686233229/Croma%20Assets/Small%20Appliances/Kitchen%20Appliances%20Accessories/Images/229812_0_nkalsr.png?tr=w-400,,,Croma
