id,unique_name,croma_name,reliance_name,croma_link,croma_price,croma_mrp,croma_discount_value,croma_discount,croma_img,reliance_link,reliance_price,reliance_mrp,reliance_discount_value,reliance_discount,reliance_img
19,Faber JUMBO 3BB BK AI,"Faber JUMBO 3BB BK AI Toughened Glass Top 3 Burner Automatic Gas Stove (Corrosion Resistance, Black)","Faber JUMBO 3BB BK AI Toughened Glass Top 3 Burner Automatic Gas Stove (Corrosion Resistance, Black)",https://www.croma.com/faber-jumbo-3bb-bk-ai-toughened-glass-top-3-burner-automatic-gas-stove-corrosion-resistance-black-/p/210986,"₹7,719","₹10,340","(Save ₹2,621)",25% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721057154/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/210986_0_irzdep.png?tr=w-400,https://www.croma.com/faber-jumbo-3bb-bk-ai-toughened-glass-top-3-burner-automatic-gas-stove-corrosion-resistance-black-/p/210986,"₹7,719","₹10,340","(Save ₹2,621)",25% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721057154/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/210986_0_irzdep.png?tr=w-400
20,Faber HTG 753 CRS BR,"Faber HTG 753 CRS BR CI Tempered Glass Top 4 Burner Automatic Electric Hob (High Quality Knob, Black)","Faber HTG 753 CRS BR CI Tempered Glass Top 4 Burner Automatic Electric Hob (High Quality Knob, Black)",https://www.croma.com/faber-htg-753-crs-br-ci-tempered-glass-top-4-burner-automatic-electric-hob-high-quality-knob-black-/p/204577,"₹19,204","₹24,890","(Save ₹5,686)",23% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721054986/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/204577_0_wldwsq.png?tr=w-400,https://www.croma.com/faber-htg-753-crs-br-ci-tempered-glass-top-4-burner-automatic-electric-hob-high-quality-knob-black-/p/204577,"₹19,204","₹24,890","(Save ₹5,686)",23% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721054986/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/204577_0_wldwsq.png?tr=w-400
23,Faber HTG 753 CRS BR,"Faber HTG 753 CRS BR CI Tempered Glass Top 3 Burner Automatic Hob (High Quality Knob, Black)","Faber HTG 753 CRS BR CI Tempered Glass Top 3 Burner Automatic Hob (High Quality Knob, Black)",https://www.croma.com/faber-htg-753-crs-br-ci-tempered-glass-top-3-burner-automatic-hob-high-quality-knob-black-/p/204578,"₹17,794","₹22,490","(Save ₹4,696)",21% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721055123/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/204578_0_zawcmh.png?tr=w-400,https://www.croma.com/faber-htg-753-crs-br-ci-tempered-glass-top-3-burner-automatic-hob-high-quality-knob-black-/p/204578,"₹17,794","₹22,490","(Save ₹4,696)",21% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721055123/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/204578_0_zawcmh.png?tr=w-400
24,FABER Superia HT763 BR AI,"FABER Superia HT763 BR AI Toughened Glass Top 3 Burner Automatic Gas Hob (Fully Concealed Drip Tray, Black)","FABER Superia HT763 BR AI Toughened Glass Top 3 Burner Automatic Gas Hob (Fully Concealed Drip Tray, Black)",https://www.croma.com/faber-superia-ht763-br-ai-toughened-glass-top-3-burner-automatic-gas-hob-fully-concealed-drip-tray-black-/p/300382,"₹15,490","₹22,900","(Save ₹7,410)",32% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721057695/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/300382_0_rj9csj.png?tr=w-400,https://www.croma.com/faber-superia-ht763-br-ai-toughened-glass-top-3-burner-automatic-gas-hob-fully-concealed-drip-tray-black-/p/300382,"₹15,490","₹22,900","(Save ₹7,410)",32% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721057695/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/300382_0_rj9csj.png?tr=w-400
25,Faber Utopia Pro HT 903,"Faber Utopia Pro HT 903 BR CI Toughened Glass Top 3 Burner Automatic Electric Hob (Flame Failure Device, Black)","Faber Utopia Pro HT 903 BR CI Toughened Glass Top 3 Burner Automatic Electric Hob (Flame Failure Device, Black)",https://www.croma.com/faber-utopia-pro-ht-903-br-ci-toughened-glass-top-3-burner-automatic-electric-hob-flame-failure-device-black-/p/265612,"₹33,629","₹38,200","(Save ₹4,571)",12% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721055500/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/265612_0_a9a4ri.png?tr=w-400,https://www.croma.com/faber-utopia-pro-ht-903-br-ci-toughened-glass-top-3-burner-automatic-electric-hob-flame-failure-device-black-/p/265612,"₹33,629","₹38,200","(Save ₹4,571)",12% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721055500/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/265612_0_a9a4ri.png?tr=w-400
26,FABER FBIMWO GLB 32L Built-in,FABER FBIMWO GLB 32L Built-in Microwave Oven with 10 Autocook Menus (Black),FABER FBIMWO GLB 32L Built-in Microwave Oven with 10 Autocook Menus (Black),https://www.croma.com/faber-fbimwo-glb-32l-built-in-microwave-oven-with-10-autocook-menus-black-/p/193175,"₹54,699","₹64,990","(Save ₹10,291)",16% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1691179459/Croma%20Assets/Small%20Appliances/Microwave%20or%20OTG/Images/193175_0_smbvyw.png?tr=w-400,https://www.croma.com/faber-fbimwo-glb-32l-built-in-microwave-oven-with-10-autocook-menus-black-/p/193175,"₹54,699","₹64,990","(Save ₹10,291)",16% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1691179459/Croma%20Assets/Small%20Appliances/Microwave%20or%20OTG/Images/193175_0_smbvyw.png?tr=w-400
27,FABER COCKTAIL 3D T2S2 BK,FABER COCKTAIL 3D T2S2 BK TC LTW 90cm 1095m3/hr Ducted Wall Mounted Chimney with Touch Control Panel (Black),FABER COCKTAIL 3D T2S2 BK TC LTW 90cm 1095m3/hr Ducted Wall Mounted Chimney with Touch Control Panel (Black),https://www.croma.com/faber-cocktail-3d-t2s2-bk-tc-ltw-90cm-1095m3-hr-ducted-wall-mounted-chimney-with-touch-control-panel-black-/p/198209,"₹23,324","₹45,090","(Save ₹21,766)",48% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1690211733/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/198209_0_f9y0xa.png?tr=w-400,https://www.croma.com/faber-cocktail-3d-t2s2-bk-tc-ltw-90cm-1095m3-hr-ducted-wall-mounted-chimney-with-touch-control-panel-black-/p/198209,"₹23,324","₹45,090","(Save ₹21,766)",48% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1690211733/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/198209_0_f9y0xa.png?tr=w-400
28,FABER Candy 1000 Watt 3,"FABER Candy 1000 Watt 3 Jars Mixer Grinder (22000 RPM, 8-in-1 Functions, Black)","FABER Candy 1000 Watt 3 Jars Mixer Grinder (22000 RPM, 8-in-1 Functions, Black)",https://www.croma.com/faber-candy-1000-watt-3-jars-mixer-grinder-22000-rpm-8-in-1-functions-black-/p/234159,"₹4,004","₹7,290","(Save ₹3,286)",45% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1685024524/Croma%20Assets/Small%20Appliances/Food%20Preparation%20App/Images/234159_0_oxr1dc.png?tr=w-400,https://www.croma.com/faber-candy-1000-watt-3-jars-mixer-grinder-22000-rpm-8-in-1-functions-black-/p/234159,"₹4,004","₹7,290","(Save ₹3,286)",45% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1685024524/Croma%20Assets/Small%20Appliances/Food%20Preparation%20App/Images/234159_0_oxr1dc.png?tr=w-400
31,FABER Candy 1000 Watt 3,"FABER Candy 1000 Watt 3 Jars Mixer Grinder (22000 RPM, 8-in-1 Functions, Black/White)","FABER Candy 1000 Watt 3 Jars Mixer Grinder (22000 RPM, 8-in-1 Functions, Black/White)",https://www.croma.com/faber-candy-1000-watt-3-jars-mixer-grinder-22000-rpm-8-in-1-functions-black-white-/p/234160,"₹4,554","₹7,290","(Save ₹2,736)",38% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1718950854/Croma%20Assets/Small%20Appliances/Food%20Processors/Images/234160_0_jrgmwn.png?tr=w-400,https://www.croma.com/faber-candy-1000-watt-3-jars-mixer-grinder-22000-rpm-8-in-1-functions-black-white-/p/234160,"₹4,554","₹7,290","(Save ₹2,736)",38% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1718950854/Croma%20Assets/Small%20Appliances/Food%20Processors/Images/234160_0_jrgmwn.png?tr=w-400
32,FABER FBIO 6F AF BK,FABER FBIO 6F AF BK 83L Built-in Microwave Oven with Anti Scalding Cold Door Technology (Black),FABER FBIO 6F AF BK 83L Built-in Microwave Oven with Anti Scalding Cold Door Technology (Black),https://www.croma.com/faber-fbio-6f-af-bk-83l-built-in-microwave-oven-with-anti-scalding-cold-door-technology-black-/p/260705,"₹51,399","₹60,990","(Save ₹9,591)",16% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1691178653/Croma%20Assets/Small%20Appliances/Microwave%20or%20OTG/Images/260705_0_uruqiv.png?tr=w-400,https://www.croma.com/faber-fbio-6f-af-bk-83l-built-in-microwave-oven-with-anti-scalding-cold-door-technology-black-/p/260705,"₹51,399","₹60,990","(Save ₹9,591)",16% Off,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1691178653/Croma%20Assets/Small%20Appliances/Microwave%20or%20OTG/Images/260705_0_uruqiv.png?tr=w-400
